halfYear,isHoliday,partOfDay,weatherA,weatherB,SA2_Name,SA3_Name,trafficCount,population,crashesCount
2018H1,0,Day,Fine,Null,Hillcrest North (Auckland),Hillcrest (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Hillcrest West (Auckland),Hillcrest (Auckland),4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Hillpark North,Hillpark,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Hillpark South,Hillpark,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Hillsborough Central (Auckland),Hillsborough (Auckland),4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Hillsborough North (Auckland),Hillsborough (Auckland),4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Hillsborough South (Auckland),Hillsborough (Auckland),4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Hilltop (Auckland),Flat Bush,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Hobson Ridge Central,Auckland City Centre,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Hobson Ridge North,Auckland City Centre,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Hobson Ridge South,Auckland City Centre,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Hobsonville,Hobsonville,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Hobsonville Point Park,Hobsonville,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Homai Central,Manurewa,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Homai East,Manurewa,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Homai West,Manurewa,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Howick Central,Howick,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Howick East,Howick,4994206.6408839775,1533750.0,6
2018H1,0,Day,Fine,Null,Howick West,Howick,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Huntington Park,East Tamaki,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Hunua,Hunua-Ararimu,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Kaipara Hills,Rodney East,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Karangahape East,Auckland City Centre,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Karangahape West,Auckland City Centre,4994206.6408839775,1533750.0,9
2018H1,0,Day,Fine,Null,Kaukapakapa,Kaukapakapa-Waitoki,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Kaukapakapa Rural,Kaukapakapa-Waitoki,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Kaurilands,Titirangi,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Kawakawa Bay-Orere,Franklin North,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Kelston South,Kelston ,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Kendallvale,Waiuku,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Kingseat-Karaka,Franklin Central,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Kingsland,Kingsland,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Kingsway,Red Beach,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Kohimarama Bay,Kohimarama,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Kohimarama Stadium,Kohimarama,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Konini Road,Titirangi,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Kumeu Rural East,Kumeu,4994206.6408839775,1533750.0,12
2018H1,0,Day,Fine,Null,Kumeu Rural West,Kumeu,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Kumeu-Huapai North,Kumeu,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Leabank,Manurewa,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Long Bay,Long Bay,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Lynfield Central,Lynfield ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Mairangi Bay North,Mairangi Bay ,4994206.6408839775,1533750.0,1
2018H1,0,Day,Fine,Null,Mangere Bridge,Mangere Bridge,4994206.6408839775,1533750.0,8
2018H1,0,Day,Fine,Null,Mangere Central,Mangere ,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Mangere East,Mangere East,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Mangere Mascot,Mangere ,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Mangere Mountain View,Mangere Bridge,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Mangere North,Mangere ,4994206.6408839775,1533750.0,10
2018H1,0,Day,Fine,Null,Mangere South,Mangere ,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Mangere South East,Mangere ,4994206.6408839775,1533750.0,13
2018H1,0,Day,Fine,Null,Mangere West,Mangere ,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Manly East,Manly,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Manly West,Manly,4994206.6408839775,1533750.0,2
2018H1,0,Day,Fine,Null,Manukau Central,Manukau,4994206.6408839775,1533750.0,67
2018H1,0,Day,Fine,Null,Manurewa Central,Manurewa,4994206.6408839775,1533750.0,19
2018H1,0,Day,Fine,Null,Manurewa East,Manurewa,4994206.6408839775,1533750.0,5
2018H1,0,Day,Fine,Null,Manurewa South,Manurewa,4994206.6408839775,1533750.0,11
2018H1,0,Day,Fine,Null,Manurewa West,Manurewa,4994206.6408839775,1533750.0,4
2018H1,0,Day,Fine,Null,Maraetai,Maraetai,4994206.6408839775,1533750.0,7
2018H1,0,Day,Fine,Null,Massey Central,Massey,4994206.6408839775,1533750.0,3
2018H1,0,Day,Fine,Null,Massey Keegan,Massey,4994206.6408839775,1533750.0,3
