date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,133900,51350,Heavy rain,Strong wind,day
2024-05-28,150900,51830,Heavy rain,Strong wind,day
2024-05-28,128301,50960,Heavy rain,Strong wind,night
2024-05-28,163902,52200,Heavy rain,Strong wind,day
2024-05-28,145000,51570,Heavy rain,Strong wind,day
2024-05-28,133200,51150,Heavy rain,Strong wind,day
2024-05-28,151500,51760,Heavy rain,Strong wind,day
2024-05-28,122200,50780,Heavy rain,Strong wind,night
2024-05-28,122200,50780,Heavy rain,Strong wind,day
2024-05-28,112800,50490,Heavy rain,Strong wind,night
2024-05-28,119500,50740,Heavy rain,Strong wind,night
2024-05-28,163501,52200,Heavy rain,Strong wind,night
2024-05-28,112901,50480,Heavy rain,Strong wind,day
2024-05-28,112800,50490,Heavy rain,Strong wind,day
2024-05-28,150800,52010,Heavy rain,Strong wind,day
2024-05-28,128000,50860,Heavy rain,Strong wind,day
2024-05-28,145200,51570,Heavy rain,Strong wind,day
2024-05-28,119100,50650,Heavy rain,Strong wind,night
2024-05-28,133800,51150,Heavy rain,Strong wind,day
2024-05-28,150900,51830,Heavy rain,Strong wind,night
2024-05-28,163901,52200,Heavy rain,Strong wind,night
2024-05-28,150800,52010,Heavy rain,Strong wind,night
2024-05-28,127900,50960,Heavy rain,Strong wind,day
2024-05-28,163502,52200,Heavy rain,Strong wind,night
2024-05-28,133100,51300,Heavy rain,Strong wind,day
2024-05-28,163803,52260,Heavy rain,Strong wind,night
2024-05-28,133100,51300,Heavy rain,Strong wind,night
2024-05-28,145000,51570,Heavy rain,Strong wind,night
2024-05-28,163501,52200,Heavy rain,Strong wind,day
2024-05-28,113101,50520,Heavy rain,Strong wind,day
2024-05-28,163901,52200,Heavy rain,Strong wind,day
2024-05-28,145300,51710,Heavy rain,Strong wind,night
2024-05-28,119600,50930,Heavy rain,Strong wind,day
2024-05-28,127900,50960,Heavy rain,Strong wind,night
2024-05-28,122501,50940,Heavy rain,Strong wind,night
2024-05-28,128401,50960,Heavy rain,Strong wind,day
2024-05-28,133500,51380,Heavy rain,Strong wind,day
2024-05-28,151800,52010,Heavy rain,Strong wind,day
2024-05-28,134100,51150,Heavy rain,Strong wind,night
