date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,161900,Conifer Grove East,Conifer Grove East,52160,Conifer Grove,Conifer Grove,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,161900,Conifer Grove East,Conifer Grove East,52160,Conifer Grove,Conifer Grove,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,155301,Dannemora South,Dannemora South,51930,Dannemora,Dannemora,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,155301,Dannemora South,Dannemora South,51930,Dannemora,Dannemora,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,134302,Karangahape East,Karangahape East,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,134302,Karangahape East,Karangahape East,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,126702,Henderson West,Henderson West,50960,Henderson,Henderson,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,126702,Henderson West,Henderson West,50960,Henderson,Henderson,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,110900,Dome Valley-Matakana,Dome Valley-Matakana,50390,Rodney North,Rodney North,Light rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,110900,Dome Valley-Matakana,Dome Valley-Matakana,50390,Rodney North,Rodney North,Light rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,120400,Unsworth Heights East,Unsworth Heights East,50800,Unsworth Heights,Unsworth Heights,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,120400,Unsworth Heights East,Unsworth Heights East,50800,Unsworth Heights,Unsworth Heights,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,142001,Three Kings South,Three Kings South,51540,Three Kings,Three Kings,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,142001,Three Kings South,Three Kings South,51540,Three Kings,Three Kings,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,136001,Eden Terrace,Eden Terrace,51390,Eden Terrace,Eden Terrace,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,136001,Eden Terrace,Eden Terrace,51390,Eden Terrace,Eden Terrace,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,126601,Takapuna West,Takapuna West,51010,Takapuna,Takapuna,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,126601,Takapuna West,Takapuna West,51010,Takapuna,Takapuna,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,154801,Papatoetoe North West,Papatoetoe North West,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,154801,Papatoetoe North West,Papatoetoe North West,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,155801,Ferguson,Ferguson,51980,Ōtara,Otara,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,155801,Ferguson,Ferguson,51980,Ōtara,Otara,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,125100,Henderson Lincoln East,Henderson Lincoln East,50960,Henderson,Henderson,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,125100,Henderson Lincoln East,Henderson Lincoln East,50960,Henderson,Henderson,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,155500,Manukau Central,Manukau Central,52030,Manukau,Manukau,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,155500,Manukau Central,Manukau Central,52030,Manukau,Manukau,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,159000,Totara Heights,Totara Heights,52070,Totara Heights,Totara Heights,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,159000,Totara Heights,Totara Heights,52070,Totara Heights,Totara Heights,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,144700,Glen Innes West,Glen Innes West,51640,Glen Innes-Wai O Taiki Bay,Glen Innes-Wai O Taiki Bay,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,144700,Glen Innes West,Glen Innes West,51640,Glen Innes-Wai O Taiki Bay,Glen Innes-Wai O Taiki Bay,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,152400,Howick East,Howick East,51870,Howick,Howick,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,152400,Howick East,Howick East,51870,Howick,Howick,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,132900,Fruitvale,Fruitvale,51350,New Lynn ,New Lynn ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,132900,Fruitvale,Fruitvale,51350,New Lynn ,New Lynn ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,140400,Mount Roskill Central North,Mount Roskill Central North,51530,Mount Roskill,Mount Roskill,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,140400,Mount Roskill Central North,Mount Roskill Central North,51530,Mount Roskill,Mount Roskill,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,129902,Point Chevalier East,Point Chevalier East,51220,Point Chevalier,Point Chevalier,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,129902,Point Chevalier East,Point Chevalier East,51220,Point Chevalier,Point Chevalier,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,133200,Queen Street,Queen Street,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,133200,Queen Street,Queen Street,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,130801,Glen Eden North,Glen Eden North,51340,Glen Eden,Glen Eden,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,130801,Glen Eden North,Glen Eden North,51340,Glen Eden,Glen Eden,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,131801,Freemans Bay,Freemans Bay,51180,Freemans Bay,Freemans Bay,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,131801,Freemans Bay,Freemans Bay,51180,Freemans Bay,Freemans Bay,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,154902,Papatoetoe Central East,Papatoetoe Central East,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,154902,Papatoetoe Central East,Papatoetoe Central East,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,127200,Akoranga,Akoranga,51040,Northcote (Auckland),Northcote (Auckland),Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,127200,Akoranga,Akoranga,51040,Northcote (Auckland),Northcote (Auckland),Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,116601,Pāremoremo East,Paremoremo East,50630,Pāremoremo,Paremoremo,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,116601,Pāremoremo East,Paremoremo East,50630,Pāremoremo,Paremoremo,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
